feature,mean_abs_shap,std_abs_shap,pct_positive
ap_hi,0.7157000917557904,0.3499003485546987,38.75
age_years,0.29120827968886875,0.27870451642265676,53.05
cholesterol,0.22218839447510946,0.22399138127918203,25.35
mean_arterial_pressure,0.1240156464343284,0.10076538954549971,36.0
bmi,0.08626619353369704,0.09304414494252365,50.3
bp_category_encoded,0.06755047038668525,0.03096533928500965,32.9
weight_kg,0.05806959760100098,0.06863586233553266,62.8
is_physically_active,0.057130112462424186,0.05216167191802929,18.3
glucose,0.036060732738558206,0.05558945470204545,85.1
height_cm,0.03509283282330109,0.03597186942936273,61.25000000000001
drinks_alcohol,0.028671273758450716,0.06230173081245863,94.1
is_smoker,0.028008238607385775,0.04809999514374161,91.2
pulse_pressure,0.018616832706206253,0.026181949588945437,43.0
gender,0.013268844532171555,0.013664591446681508,55.7
ap_lo,0.00940750471822777,0.016070655613897443,52.6
