feature,mean_abs_delta_shap,std_abs_delta_shap
ap_hi,0.118553792,0.20752905510349465
mean_arterial_pressure,0.042313456,0.08201833300458787
age_years,0.01772086,0.040905273846513164
pulse_pressure,0.016912848,0.02651752509290995
bmi,0.014127628,0.02027250388523142
cholesterol,0.010807068,0.020235122851185915
weight_kg,0.01068916,0.019005051653066957
height_cm,0.00724376,0.012665236139935225
ap_lo,0.00612506,0.023149041829997805
is_physically_active,0.0027942,0.004640755180201847
glucose,0.002511628,0.0063392922040405204
bp_category_encoded,0.002332452,0.004714310969736034
drinks_alcohol,0.002290628,0.007374800772042951
is_smoker,0.0013279720000000002,0.004843527249026712
gender,0.001288976,0.002406738398392562
